date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,sqft_above,yr_built,airconditioning,basement,city,statezip,country
5/2/2014 0:00,257950,3,1.75,1370,5858,1,0,0,1370,1987,yes,no,Des Moines,WA 98198,USA
5/2/2014 0:00,275000,3,1.5,1180,10277,1,0,0,1180,1983,yes,no,North Bend,WA 98045,USA
5/2/2014 0:00,750000,3,1.75,2240,10578,2,0,0,1550,1923,no,yes,Seattle,WA 98115,USA
5/2/2014 0:00,435000,4,1,1450,8800,1,0,0,1450,1954,yes,yes,Bellevue,WA 98006,USA
5/2/2014 0:00,626000,3,2.25,1750,1572,2.5,0,0,1470,2005,yes,yes,Seattle,WA 98102,USA
5/2/2014 0:00,612500,4,2.5,2730,12261,2,0,0,2730,1991,yes,yes,Bothell,WA 98011,USA
5/2/2014 0:00,495000,4,1.75,1600,6380,1,0,0,1130,1959,yes,no,Seattle,WA 98125,USA
5/2/2014 0:00,285000,3,2.5,2090,10834,1,0,0,1360,1987,yes,yes,Federal Way,WA 98003,USA
5/2/2014 0:00,615000,3,1.75,2360,7291,1,0,0,1360,1948,yes,yes,Seattle,WA 98136,USA
5/2/2014 0:00,698000,4,2.25,2200,11250,1.5,0,0,1300,1920,no,no,Kirkland,WA 98033,USA
5/2/2014 0:00,675000,5,2.5,2820,67518,2,0,0,2820,1979,no,yes,Issaquah,WA 98029,USA
5/2/2014 0:00,790000,3,2.5,2600,4750,1,0,0,1700,1951,yes,yes,Seattle,WA 98117,USA
5/2/2014 0:00,382500,4,1.75,1560,8700,1,0,0,1560,1967,yes,no,Kirkland,WA 98034,USA
5/2/2014 0:00,499950,4,2.5,2860,3345,2,0,0,2190,2004,yes,no,Woodinville,WA 98072,USA
5/2/2014 0:00,650000,4,2,1820,5000,1.5,0,1,1640,1945,yes,no,Seattle,WA 98115,USA
5/2/2014 0:00,625000,4,2.5,2820,8408,2,0,0,2820,2014,no,yes,Shoreline,WA 98155,USA
5/2/2014 0:00,400000,4,2.5,3630,42884,1.5,0,0,2300,1979,yes,yes,Auburn,WA 98092,USA
5/2/2014 0:00,604000,3,2.5,3240,33151,2,0,2,3240,1995,yes,no,Federal Way,WA 98023,USA
5/2/2014 0:00,440000,2,1,800,4850,1,0,0,800,1944,no,no,Seattle,WA 98107,USA
5/2/2014 0:00,287200,3,3,1850,19966,1,0,0,1090,1992,yes,no,Maple Valley,WA 98038,USA
5/2/2014 0:00,403000,3,2,1960,13100,1,0,2,1650,1957,yes,no,Normandy Park,WA 98166,USA
5/2/2014 0:00,750000,3,2.5,2390,6550,1,0,2,1440,1955,yes,no,Seattle,WA 98116,USA
5/2/2014 0:00,335000,3,2.25,1580,16215,1,0,0,1580,1978,yes,yes,Fall City,WA 98024,USA
5/2/2014 0:00,260000,4,2,1480,8625,1,0,0,1480,1974,yes,no,Renton,WA 98055,USA
5/2/2014 0:00,308500,2,1,850,6174,1,0,0,850,1950,yes,no,Shoreline,WA 98155,USA
5/2/2014 0:00,439950,3,2.5,1770,2875,2,0,0,1770,1990,no,no,Seattle,WA 98116,USA
5/2/2014 0:00,235000,2,1,1210,9400,1,0,0,1210,1949,yes,no,Seattle,WA 98106,USA
5/2/2014 0:00,315000,3,1,1160,9180,1,0,0,1160,1968,yes,no,Woodinville,WA 98077,USA
5/2/2014 0:00,437500,3,2.25,1970,35100,2,0,0,1970,1977,yes,no,Issaquah,WA 98027,USA
5/2/2014 0:00,407500,3,2.5,1930,10460,2,0,0,1930,1996,yes,no,Renton,WA 98059,USA
5/2/2014 0:00,445700,3,2.5,1270,1180,3,0,0,1270,2001,no,yes,Seattle,WA 98107,USA
5/2/2014 0:00,838000,4,2.5,3310,42998,2,0,0,3310,2001,yes,yes,Redmond,WA 98052,USA
5/2/2014 0:00,630000,4,2.75,2710,37277,2,0,0,2710,2000,no,no,Issaquah,WA 98027,USA
5/2/2014 0:00,550000,3,1.75,2910,35200,1.5,0,0,2910,1979,yes,no,Sammamish,WA 98075,USA
5/2/2014 0:00,805000,3,2,2710,4500,1.5,0,0,1880,1929,yes,no,Seattle,WA 98115,USA
5/2/2014 0:00,284000,3,1.75,1800,23103,1,0,0,1800,1968,yes,no,Carnation,WA 98014,USA
5/2/2014 0:00,470000,5,2.5,2210,9655,1,0,0,1460,1976,yes,no,Bothell,WA 98011,USA
5/2/2014 0:00,430000,4,1.5,1920,10000,1,0,0,1070,1954,yes,no,Bellevue,WA 98006,USA
5/2/2014 0:00,491500,4,1.75,2190,125452,1,0,2,2190,1968,no,yes,Auburn,WA 98092,USA
5/2/2014 0:00,785000,5,3.25,3660,11995,2,0,2,3660,2006,yes,no,Snoqualmie,WA 98065,USA
5/2/2014 0:00,385000,3,3.25,1320,1327,2,0,0,1040,2008,yes,no,Seattle,WA 98199,USA
5/2/2014 0:00,295000,2,2.5,1630,1368,2,0,0,1280,2009,yes,no,Seattle,WA 98106,USA
5/2/2014 0:00,555000,4,2.5,3310,6500,2,0,0,3310,2012,no,no,Snoqualmie,WA 98065,USA
5/2/2014 0:00,459990,3,2.5,2680,5539,2,0,0,2680,2013,yes,no,North Bend,WA 98045,USA
5/2/2014 0:00,625000,4,3.25,2730,54014,1,0,0,1560,2007,yes,no,Renton,WA 98059,USA
5/2/2014 0:00,300000,3,2.5,2540,5050,2,0,0,2540,2006,yes,no,Kent,WA 98042,USA
5/3/2014 0:00,625000,4,2.75,2920,6605,2,0,0,2920,2012,yes,yes,Renton,WA 98059,USA
5/3/2014 0:00,553000,2,1,900,5000,1,0,0,900,1944,yes,yes,Seattle,WA 98117,USA
5/3/2014 0:00,379880,3,2.5,1650,14054,1,0,0,1130,1986,no,yes,Issaquah,WA 98027,USA
5/3/2014 0:00,310000,3,1,1010,9945,1,0,0,1010,1973,no,no,Snoqualmie,WA 98065,USA
5/4/2014 0:00,775000,2,2.5,2680,7392,1,0,0,2680,2004,yes,no,Redmond,WA 98053,USA
5/4/2014 0:00,365000,3,2.5,2200,7350,1,0,0,1570,1988,no,no,Renton,WA 98058,USA
5/4/2014 0:00,331950,4,2.5,2530,9933,2,0,2,2010,1990,yes,yes,Auburn,WA 98092,USA
5/4/2014 0:00,783500,3,2.5,2850,7130,2,0,0,1990,1980,yes,no,Seattle,WA 98122,USA
5/4/2014 0:00,628000,4,2,2280,6010,1,0,0,1140,1900,yes,no,Seattle,WA 98122,USA
5/5/2014 0:00,560000,3,2.5,1900,8744,2,0,0,1900,1987,no,yes,Sammamish,WA 98074,USA
5/5/2014 0:00,900000,3,1,1330,77972,1,0,0,1330,1928,no,yes,Kirkland,WA 98033,USA
5/5/2014 0:00,531000,2,3,1270,1175,2,0,0,1110,2000,no,no,Seattle,WA 98103,USA
5/5/2014 0:00,831000,4,3,2170,4000,2,0,0,1610,1982,yes,no,Seattle,WA 98112,USA
5/5/2014 0:00,780000,4,2.5,2730,10281,2,0,2,2730,1996,yes,no,Sammamish,WA 98074,USA
5/5/2014 0:00,755000,4,2.5,2120,10202,1,0,0,1620,1960,yes,yes,Bellevue,WA 98005,USA
5/5/2014 0:00,705380,3,2.5,2490,4343,2,0,0,2490,2003,yes,no,Issaquah,WA 98029,USA
5/5/2014 0:00,627000,4,2.25,1990,7712,1,0,0,1210,1973,no,no,Issaquah,WA 98027,USA
5/5/2014 0:00,865000,4,3,3690,9892,2,0,0,3690,1998,yes,yes,Sammamish,WA 98075,USA
5/5/2014 0:00,580000,2,1,2540,7000,1,0,0,1320,1942,yes,yes,Seattle,WA 98118,USA
5/5/2014 0:00,410000,3,2.25,1800,36704,1,0,0,1360,1978,yes,no,Issaquah,WA 98027,USA
5/5/2014 0:00,485000,4,3,2340,7048,1,0,0,1340,1979,no,no,Kirkland,WA 98034,USA
5/5/2014 0:00,400000,2,1.75,2110,9519,1,0,0,2110,1948,yes,no,Shoreline,WA 98155,USA
5/5/2014 0:00,549000,2,1,1140,5400,1,0,0,1140,1908,no,yes,Seattle,WA 98112,USA
5/5/2014 0:00,620000,3,1.75,1480,2185,2.5,0,0,1480,2005,no,yes,Kirkland,WA 98033,USA
5/5/2014 0:00,405000,2,3,1410,1240,2,0,0,1140,2006,yes,yes,Seattle,WA 98136,USA
5/5/2014 0:00,232000,2,1,1200,8063,1,0,0,1200,1958,no,no,Des Moines,WA 98198,USA
5/5/2014 0:00,800866,5,2.5,3180,13806,2,0,0,3180,1990,yes,no,Kirkland,WA 98033,USA
5/5/2014 0:00,650000,3,1.5,2160,9000,1,0,2,1400,1949,no,yes,Seattle,WA 98177,USA
5/5/2014 0:00,823000,6,1.75,2920,5000,2.5,0,0,2780,1908,yes,no,Seattle,WA 98122,USA
5/5/2014 0:00,770000,3,2,2350,5700,1.5,0,0,1810,1939,yes,yes,Seattle,WA 98112,USA
5/5/2014 0:00,524000,3,1.75,1560,5520,1,0,0,780,1944,no,no,Seattle,WA 98199,USA
5/5/2014 0:00,541125,5,2.75,2740,8426,1,0,0,1370,1960,yes,no,Bellevue,WA 98006,USA
5/5/2014 0:00,670000,3,2.5,1680,2000,3,0,0,1680,1909,no,yes,Seattle,WA 98105,USA
5/5/2014 0:00,384900,5,2.5,3090,12750,1,0,0,1750,1968,yes,yes,Federal Way,WA 98023,USA
5/5/2014 0:00,406100,3,2.25,1410,1332,3,0,0,1410,2005,yes,no,Seattle,WA 98103,USA
5/5/2014 0:00,1395000,5,3.5,4010,8510,2,0,1,2850,1971,no,yes,Seattle,WA 98105,USA
5/5/2014 0:00,736500,4,2.5,3180,21904,2,0,3,3180,2000,yes,yes,Renton,WA 98059,USA
5/5/2014 0:00,570000,3,2.25,2010,6000,1,0,0,1330,1975,no,no,Redmond,WA 98052,USA
5/5/2014 0:00,787000,3,1.75,1330,7500,1,0,0,1330,1961,yes,no,Bellevue,WA 98004,USA
5/5/2014 0:00,328000,4,2.5,2370,6500,2,0,0,2370,1998,yes,no,Auburn,WA 98092,USA
5/5/2014 0:00,435000,5,2,1840,9240,1,0,0,1540,1942,no,yes,Seattle,WA 98133,USA
5/5/2014 0:00,499000,4,2.5,2910,6479,2,0,0,2910,2006,yes,no,Snoqualmie,WA 98065,USA
5/5/2014 0:00,501000,4,1,2070,7519,1,0,0,1160,1963,yes,yes,Bellevue,WA 98008,USA
5/5/2014 0:00,1090000,4,2.5,4340,141570,2.5,0,0,4340,1992,no,yes,Redmond,WA 98053,USA
5/5/2014 0:00,400000,2,1,840,5510,1,0,0,840,1955,no,no,Seattle,WA 98136,USA
5/5/2014 0:00,220000,4,1.5,1240,9600,1,0,0,1240,1971,no,no,Federal Way,WA 98023,USA
5/5/2014 0:00,657100,4,1,1390,4240,1,0,0,1050,1924,no,yes,Seattle,WA 98103,USA
5/5/2014 0:00,309950,4,2.75,2310,5000,2,0,0,2310,2006,yes,no,Maple Valley,WA 98038,USA
5/5/2014 0:00,300000,3,2,1050,10072,1,0,0,1050,1986,no,no,Duvall,WA 98019,USA
5/5/2014 0:00,525888,5,1.75,2550,71874,1,0,0,1810,1960,no,yes,Issaquah,WA 98027,USA
5/5/2014 0:00,740000,4,1.75,2010,3600,1.5,0,0,2010,1902,no,yes,Seattle,WA 98119,USA
5/5/2014 0:00,340000,5,1,1120,9022,1.5,0,0,1120,1962,yes,yes,Kirkland,WA 98034,USA
5/5/2014 0:00,398750,3,2.5,2230,4000,2,0,0,2230,1954,no,yes,Seattle,WA 98144,USA
5/5/2014 0:00,206000,2,1,810,7158,1,0,0,810,1944,yes,no,Burien,WA 98168,USA
5/5/2014 0:00,1030000,5,2.75,3190,16920,1,0,3,1690,1976,yes,yes,Bellevue,WA 98006,USA
5/5/2014 0:00,600000,3,1.75,1670,39639,1,0,0,1670,1976,yes,yes,Sammamish,WA 98075,USA
5/5/2014 0:00,379950,4,1.75,1970,9389,1,0,0,1140,1960,no,yes,Shoreline,WA 98133,USA
5/5/2014 0:00,287000,3,1,1450,6000,1,0,0,1450,1953,yes,yes,Seattle,WA 98118,USA
5/5/2014 0:00,2280000,7,8,13540,307752,3,0,4,9410,1999,no,yes,Redmond,WA 98053,USA
5/5/2014 0:00,309950,3,2.5,1880,7838,2,0,0,1880,1994,no,no,Renton,WA 98055,USA
5/5/2014 0:00,600000,3,1.75,1880,6360,1,0,0,1040,1945,no,no,Seattle,WA 98115,USA
5/5/2014 0:00,418000,3,2,1410,6030,1.5,0,0,1410,1930,yes,no,Seattle,WA 98103,USA
5/5/2014 0:00,449250,4,2,1480,3844,1.5,0,0,1480,1928,no,yes,Seattle,WA 98133,USA
5/5/2014 0:00,329950,2,1,1140,5250,1.5,0,0,1140,1949,yes,no,Seattle,WA 98133,USA
5/5/2014 0:00,245000,3,1.75,1920,9306,1,0,0,1000,1984,yes,no,Auburn,WA 98001,USA
5/5/2014 0:00,549000,4,2.5,2910,6338,2,0,0,2910,2008,no,no,Renton,WA 98059,USA
5/5/2014 0:00,800000,3,2.5,3240,7857,2,0,0,3240,1994,no,yes,Sammamish,WA 98075,USA
5/5/2014 0:00,249950,3,2,1550,15040,1,0,0,1550,1958,no,no,Renton,WA 98059,USA
5/5/2014 0:00,210000,5,2,2050,10200,1,0,0,1430,1956,yes,no,Des Moines,WA 98198,USA
5/5/2014 0:00,1425000,2,2.5,2220,4000,2,0,0,2220,2000,yes,no,Seattle,WA 98112,USA
5/5/2014 0:00,585000,2,1,1770,8640,1.5,0,0,1520,1949,no,yes,Seattle,WA 98117,USA
5/5/2014 0:00,615000,4,1.75,2300,11700,1,0,0,1960,1977,yes,no,Redmond,WA 98052,USA
5/5/2014 0:00,618500,3,2,1800,5000,1,0,0,1080,1942,yes,no,Seattle,WA 98115,USA
5/5/2014 0:00,487585,4,1.75,2010,9211,1,0,0,1470,1977,no,no,Kirkland,WA 98034,USA
5/5/2014 0:00,509900,3,2.5,1790,2700,2,0,0,1790,2010,yes,no,Issaquah,WA 98027,USA
5/5/2014 0:00,631625,4,2.5,2440,6651,2,0,0,2440,2014,yes,yes,Seattle,WA 98117,USA
5/5/2014 0:00,555000,3,2.5,1940,3211,2,0,0,1940,2009,yes,no,Issaquah,WA 98027,USA
5/5/2014 0:00,340000,2,1.5,1160,1438,2,0,0,1160,2001,no,yes,Seattle,WA 98144,USA
5/5/2014 0:00,830000,4,2.5,3400,9692,2,0,0,3400,2007,no,no,Redmond,WA 98052,USA
5/5/2014 0:00,890000,4,4.25,4420,5750,2,0,0,3410,2006,no,yes,Issaquah,WA 98027,USA
5/5/2014 0:00,366750,3,3,1571,2017,3,0,0,1571,2008,yes,yes,Seattle,WA 98125,USA
5/5/2014 0:00,415000,3,2.25,1620,998,2.5,0,0,1540,2010,no,no,Issaquah,WA 98029,USA
5/5/2014 0:00,416286,3,2.5,1408,989,3,0,0,1408,2005,no,no,Seattle,WA 98115,USA
5/5/2014 0:00,478000,3,2.5,3040,4535,2,0,0,3040,2007,no,no,Renton,WA 98056,USA
5/5/2014 0:00,890000,5,3.5,4490,6000,2,0,0,3200,2006,no,no,Issaquah,WA 98027,USA
5/5/2014 0:00,419190,2,2.5,1590,1426,2,0,0,1590,2014,no,yes,Issaquah,WA 98029,USA
5/5/2014 0:00,712198,4,2.5,2450,4247,2,0,0,2450,2013,yes,yes,Redmond,WA 98052,USA
5/6/2014 0:00,397000,4,2,1440,7680,1,0,0,1200,1971,yes,no,Kirkland,WA 98034,USA
5/6/2014 0:00,450000,2,2,1100,3000,1.5,0,0,1100,1912,yes,yes,Seattle,WA 98117,USA
5/6/2014 0:00,353000,3,1,1350,7740,1,0,0,860,1947,no,yes,Seattle,WA 98125,USA
5/6/2014 0:00,609000,4,2.5,2150,37981,2,0,0,2150,1985,no,no,Redmond,WA 98052,USA
5/6/2014 0:00,234000,3,1.75,1490,8366,1,0,0,1010,1975,no,yes,Covington,WA 98042,USA
5/6/2014 0:00,561000,3,2,2000,7000,2,0,0,2000,1916,no,yes,Seattle,WA 98136,USA
5/6/2014 0:00,469000,2,1,1030,4400,1,0,0,1030,1924,no,yes,Seattle,WA 98117,USA
5/6/2014 0:00,329350,2,1,720,6687,1,0,0,720,1942,no,no,Seattle,WA 98117,USA
5/6/2014 0:00,488000,5,2,2020,5000,1.5,0,0,2020,1938,yes,yes,Seattle,WA 98117,USA
5/6/2014 0:00,279900,3,1.75,1580,8151,1,0,1,1100,1962,yes,no,Des Moines,WA 98198,USA
5/6/2014 0:00,606000,4,2.5,2110,13850,2,0,0,2110,1987,yes,no,Issaquah,WA 98027,USA
5/6/2014 0:00,312000,4,2,1300,7054,1,0,0,1300,1950,no,yes,Seattle,WA 98146,USA
5/6/2014 0:00,650000,3,1.5,1630,7475,1,0,1,1160,1940,yes,yes,Seattle,WA 98115,USA
5/6/2014 0:00,1135000,4,2.75,3370,8103,1,0,3,1970,1970,no,yes,Seattle,WA 98136,USA
5/6/2014 0:00,325000,4,2.5,1890,6156,1,0,0,980,1980,no,yes,Seattle,WA 98106,USA
5/6/2014 0:00,425000,4,2,1520,7983,1,0,0,1520,1967,yes,yes,Inglewood-Finn Hill,WA 98034,USA
5/6/2014 0:00,219000,2,1,900,5160,1,0,0,900,1952,yes,no,Seattle,WA 98106,USA
5/6/2014 0:00,250000,3,1,1050,6874,1,0,0,1050,1954,yes,yes,Shoreline,WA 98133,USA
5/6/2014 0:00,390000,3,1.75,1260,6500,1,0,0,1260,1966,yes,no,Bellevue,WA 98008,USA
5/6/2014 0:00,475000,6,3,3470,117612,1.5,0,0,3470,1924,no,yes,Kenmore,WA 98028,USA
5/6/2014 0:00,736000,4,2.5,2290,12047,2,0,0,2290,1988,no,no,Bellevue,WA 98006,USA
5/6/2014 0:00,407000,4,2.25,2810,23400,1,0,1,1710,1958,yes,yes,Des Moines,WA 98198,USA
5/6/2014 0:00,272000,3,2.5,1650,13816,2,0,0,1650,1998,yes,no,Carnation,WA 98014,USA
5/6/2014 0:00,362000,3,2.25,1640,14374,1,0,0,1140,1963,no,yes,Burien,WA 98148,USA
5/6/2014 0:00,535000,3,2.5,1850,10109,2,0,0,1850,1991,no,no,Kirkland,WA 98034,USA
5/6/2014 0:00,284000,4,2.5,2000,5390,2,0,0,2000,2003,yes,no,Kent,WA 98042,USA
5/6/2014 0:00,367500,3,1.5,1410,9647,1,0,0,1410,1961,no,yes,Shoreline,WA 98177,USA
5/6/2014 0:00,379900,4,1.75,1500,11600,1,0,0,1000,1955,no,yes,Kenmore,WA 98028,USA
5/6/2014 0:00,520000,3,2.5,2460,54885,2,0,0,2460,1980,no,no,Renton,WA 98059,USA
5/6/2014 0:00,175000,3,1,1010,7034,1,0,0,1010,1954,yes,yes,Renton,WA 98057,USA
5/6/2014 0:00,460000,2,2.25,1230,929,2,0,0,1020,2004,no,yes,Seattle,WA 98112,USA
5/6/2014 0:00,345000,4,2.5,2331,3826,2,0,0,2331,2007,yes,no,Renton,WA 98058,USA
5/6/2014 0:00,455000,5,2.5,2240,7770,1,0,0,1340,1978,no,no,Kirkland,WA 98034,USA
5/6/2014 0:00,610000,4,3,2450,10117,1,0,0,1580,1967,no,yes,Bellevue,WA 98006,USA
5/6/2014 0:00,563000,4,3,3100,15480,2,0,0,2400,1996,no,yes,Kenmore,WA 98028,USA
5/6/2014 0:00,612500,4,2,2060,5000,1,0,0,1030,1949,no,no,Seattle,WA 98117,USA
5/6/2014 0:00,218000,3,1.75,1850,7684,1,0,0,1320,1979,yes,yes,Federal Way,WA 98023,USA
5/6/2014 0:00,404000,4,1.75,1840,10720,1,0,0,960,1958,yes,no,Bellevue,WA 98008,USA
5/6/2014 0:00,860000,4,2,3740,32417,2,0,0,3740,2000,no,yes,Redmond,WA 98053,USA
5/6/2014 0:00,136500,3,1.5,1420,8580,1,0,0,1420,1962,yes,no,Federal Way,WA 98023,USA
5/6/2014 0:00,313950,3,1,1510,6083,1,0,0,860,1940,no,yes,Seattle,WA 98115,USA
5/6/2014 0:00,575000,3,1.75,2130,6500,1,0,2,1170,1954,no,yes,Seattle,WA 98199,USA
5/6/2014 0:00,1225000,4,2.25,3490,6906,2,0,0,2280,1928,no,yes,Seattle,WA 98199,USA
5/6/2014 0:00,280000,3,1.75,1630,11800,1,0,0,1630,1971,no,yes,North Bend,WA 98045,USA
5/6/2014 0:00,515000,3,2.5,1790,7167,2,0,0,1790,1989,no,yes,Sammamish,WA 98074,USA
5/6/2014 0:00,513000,4,2.5,2000,5684,2,0,0,2000,1996,no,yes,Kenmore,WA 98028,USA
5/6/2014 0:00,599000,4,2.25,2260,29930,2,0,0,1400,1977,yes,yes,Bellevue,WA 98006,USA
5/6/2014 0:00,685000,4,2.5,3030,7864,2,0,0,3030,1999,yes,no,Sammamish,WA 98074,USA
5/6/2014 0:00,365000,3,1.5,1310,8160,1,0,0,1310,1950,no,no,Seattle,WA 98133,USA
5/6/2014 0:00,762300,4,2.5,3880,14550,2,0,0,3880,1987,yes,yes,Sammamish,WA 98074,USA
5/6/2014 0:00,1580000,4,3.25,3760,10920,1.5,0,0,2400,1950,yes,yes,Seattle,WA 98105,USA
5/6/2014 0:00,562000,5,2.25,3040,8111,2,0,0,3040,1984,no,yes,Redmond,WA 98052,USA
5/6/2014 0:00,530000,5,2.5,2910,9636,1,0,0,1690,1964,no,no,Bellevue,WA 98008,USA
5/6/2014 0:00,525000,3,2.5,2970,11985,1,0,0,1770,1995,no,yes,Sammamish,WA 98074,USA
5/6/2014 0:00,484000,2,1.75,1660,6000,1,0,0,1160,1942,yes,no,Seattle,WA 98105,USA
5/6/2014 0:00,725126,4,2.5,3200,12369,2,0,0,3200,1998,yes,yes,Newcastle,WA 98059,USA
5/6/2014 0:00,360000,4,2,2680,18768,1,0,0,2680,1965,yes,yes,Auburn,WA 98001,USA
5/6/2014 0:00,387000,3,1,1230,9568,1,0,0,1230,1962,no,no,Newcastle,WA 98056,USA
5/6/2014 0:00,483500,4,2.5,2740,45732,2,0,0,2740,1995,no,no,Woodinville,WA 98077,USA
5/6/2014 0:00,655500,4,3.5,3380,8330,2,0,0,3380,2000,no,yes,Shoreline,WA 98177,USA
5/6/2014 0:00,345000,3,1,1110,6250,1,0,0,1110,1956,no,no,Seattle,WA 98115,USA
5/6/2014 0:00,533000,5,2.75,1800,3780,1.5,0,0,1400,1926,yes,yes,Seattle,WA 98103,USA
5/6/2014 0:00,385000,3,1.75,1900,5520,1,0,0,1280,1982,no,yes,Seattle,WA 98118,USA
5/6/2014 0:00,675000,2,1,930,36478,1,0,2,930,1951,no,yes,Bellevue,WA 98006,USA
5/6/2014 0:00,197000,3,1.75,1690,7735,1,0,0,1060,1976,no,no,Auburn,WA 98001,USA
5/6/2014 0:00,485000,3,2,1420,4080,1.5,0,0,1420,1905,no,no,Seattle,WA 98103,USA
5/6/2014 0:00,1870000,5,4,4510,15175,2,0,0,4510,1969,yes,no,Mercer Island,WA 98040,USA
5/6/2014 0:00,295000,3,2.25,1980,8000,1,0,0,1560,1974,yes,no,Federal Way,WA 98023,USA
5/6/2014 0:00,499000,2,1.75,1170,2400,1,0,0,740,1903,no,yes,Seattle,WA 98103,USA
5/6/2014 0:00,1050000,3,2.5,2200,1970,2,0,0,1610,2008,yes,yes,Seattle,WA 98102,USA
5/6/2014 0:00,191000,3,1.5,800,8850,1,0,0,800,1959,no,no,Federal Way,WA 98023,USA
5/6/2014 0:00,500000,3,2.5,1480,1171,3,0,0,1480,2006,yes,yes,Seattle,WA 98112,USA
5/6/2014 0:00,390000,5,3.75,2890,5000,1,0,0,1310,2006,yes,yes,Seattle,WA 98144,USA
5/6/2014 0:00,979000,3,2.5,2690,4047,3,0,0,2690,2014,yes,no,Seattle,WA 98117,USA
5/6/2014 0:00,580000,4,3.25,3569,8327,2,0,0,3569,2013,yes,no,Renton,WA 98055,USA
5/6/2014 0:00,369950,3,2,1270,1320,3,0,0,1270,2006,yes,no,Seattle,WA 98103,USA
5/6/2014 0:00,1800000,5,5,4490,10279,2,0,0,3930,2013,yes,yes,Bellevue,WA 98004,USA
5/6/2014 0:00,776000,4,2.5,3040,6425,2,0,0,3040,2008,no,no,Redmond,WA 98052,USA
5/7/2014 0:00,519950,3,2.25,1170,1249,3,0,0,1170,2014,no,yes,Seattle,WA 98107,USA
5/7/2014 0:00,255000,5,2.25,2060,8632,1,0,0,1030,1962,no,no,Burien,WA 98146,USA
5/7/2014 0:00,495000,3,1,990,6000,1,0,0,990,1943,no,no,Seattle,WA 98105,USA
5/7/2014 0:00,510000,4,2.5,2430,5203,2,0,0,2430,2003,no,yes,Shoreline,WA 98155,USA
5/7/2014 0:00,1150000,4,4,4460,103382,2,0,0,4460,2001,yes,yes,Redmond,WA 98053,USA
5/7/2014 0:00,253000,3,1.75,1250,10122,1,0,0,1250,1994,no,yes,Black Diamond,WA 98010,USA
5/7/2014 0:00,503000,3,2.75,1540,6760,1,0,0,1210,1980,yes,no,Kirkland,WA 98034,USA
5/7/2014 0:00,275000,3,2.5,1600,7000,2,0,0,1600,1993,no,yes,Maple Valley,WA 98038,USA
5/7/2014 0:00,249000,3,1,1110,8423,1,0,0,1110,1952,no,yes,Burien,WA 98166,USA
5/7/2014 0:00,310000,3,1.75,1840,10723,1,0,0,1220,1974,no,yes,Renton,WA 98058,USA
5/7/2014 0:00,750000,3,2.75,2520,5401,1,0,0,1360,1946,no,no,Seattle,WA 98119,USA
5/7/2014 0:00,630000,3,2.5,2680,327135,2,0,0,2680,1995,no,no,Ravensdale,WA 98051,USA
5/7/2014 0:00,599999,9,4.5,3830,6988,2.5,0,0,2450,1938,no,no,Seattle,WA 98103,USA
5/7/2014 0:00,758000,4,2.75,2410,9549,1,0,0,1780,1956,yes,no,Kirkland,WA 98033,USA
